Time	[Ca_ex]	[Ca_s]	[Ca_c]	[Ca_B]	[s5]	[IP3]	[s7]	[s8]	[s9]	[s10]	[s11]	[TimeT]	[s13]	[Shear Stress]	Compartments[default].Volume	Compartments[Cell].Volume	Compartments[ER].Volume	Values[R_T]	Values[k1]	Values[k2]	Values[k3]	Values[k4]	Values[k5]	Values[k6]	Values[k7]	Values[K1]	Values[K2]	Values[K3]	Values[K4]	Values[K5]	Values[K_hi]	Values[k_CICR]	Values[K_CICR]	Values[k_CCE]	Values[B_T]	Values[dot_Vp]	Values[dot_Vex]	Values[dot_Vhi]	Values[dot_q_inpass]	Values[Cao]	Values[tau_I]	Values[tau_II]	Values[half]	Values[fracK]
11.472	1.5e+06	2.83043e+06	114.45	4409.64	0	3.86738	-24.8184	20.951	6365.8	27079.2	-34416.1	11.472	-11.472	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
12.0353	1.5e+06	2.83043e+06	114.772	4421.56	0	4.05887	-27.2424	23.1836	6685.49	28437.5	-36106	12.0353	-12.0353	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
12.8455	1.5e+06	2.83042e+06	115.29	4440.77	0	4.33144	-30.9141	26.5826	7146.58	30396.3	-38536.6	12.8455	-12.8455	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
13.6557	1.5e+06	2.8304e+06	115.878	4462.54	0	4.60069	-34.8018	30.2011	7609.35	32362	-40967.1	13.6557	-13.6557	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
14.4659	1.5e+06	2.83037e+06	116.537	4486.98	0	4.86665	-38.9031	34.0365	8074.03	34335.6	-43397.6	14.4659	-14.4659	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
15.2761	1.5e+06	2.83033e+06	117.271	4514.16	0	5.12936	-43.2153	38.086	8540.84	36317.8	-45828.2	15.2761	-15.2761	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
16.0862	1.5e+06	2.83026e+06	118.082	4544.18	0	5.38887	-47.7359	42.347	9009.98	38309.6	-48258.7	16.0862	-16.0862	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
16.8964	1.5e+06	2.83019e+06	118.972	4577.08	0	5.64522	-52.4622	46.817	9481.67	40311.8	-50689.2	16.8964	-16.8964	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
18.1608	1.5e+06	2.83003e+06	120.522	4634.36	0	6.03905	-60.2438	54.2048	10223.5	43460	-54482.5	18.1608	-18.1608	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
19.4253	1.5e+06	2.82983e+06	122.272	4699	0	6.42541	-68.5112	62.0858	10972.9	46639.6	-58275.8	19.4253	-19.4253	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
20.6897	1.5e+06	2.82958e+06	124.228	4771.16	0	6.80444	-77.2551	70.4506	11730.8	49854.3	-62069.1	20.6897	-20.6897	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
21.9541	1.5e+06	2.82927e+06	126.394	4850.95	0	7.17628	-86.4665	79.2902	12498	53107.7	-65862.4	21.9541	-21.9541	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
23.2186	1.5e+06	2.8289e+06	128.772	4938.44	0	7.54107	-96.1365	88.5954	13275.4	56403.3	-69655.7	23.2186	-23.2186	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
24.483	1.5e+06	2.82846e+06	131.366	5033.7	0	7.89893	-106.256	98.3575	14063.7	59744.5	-73448.9	24.483	-24.483	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
26.2381	1.5e+06	2.82775e+06	135.327	5178.88	0	8.38443	-121.033	112.649	15177.7	64464.5	-78714.2	26.2381	-26.2381	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
27.9931	1.5e+06	2.82688e+06	139.71	5339.13	0	8.85719	-136.638	127.781	16316.6	69287.8	-83979.4	27.9931	-27.9931	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
29.7482	1.5e+06	2.82587e+06	144.519	5514.41	0	9.31754	-153.049	143.732	17482.7	74222.9	-89244.7	29.7482	-29.7482	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
31.5033	1.5e+06	2.82469e+06	149.752	5704.59	0	9.76581	-170.246	160.48	18678.4	79277.6	-94509.9	31.5033	-31.5033	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
33.2584	1.5e+06	2.82333e+06	155.409	5909.45	0	10.2023	-188.207	178.004	19906	84459.2	-99775.2	33.2584	-33.2584	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
35.0135	1.5e+06	2.8218e+06	161.486	6128.67	0	10.6274	-206.912	196.285	21168.2	89774.1	-105040	35.0135	-35.0135	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
37.1316	1.5e+06	2.81968e+06	169.366	6411.73	0	11.1255	-230.45	219.325	22741.7	96374.3	-111395	37.1316	-37.1316	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
39.2496	1.5e+06	2.81728e+06	177.826	6714.1	0	11.6079	-255.011	243.403	24375.6	103186	-117749	39.2496	-39.2496	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
41.3677	1.5e+06	2.81458e+06	186.841	7034.5	0	12.0751	-280.562	268.487	26076.8	110217	-124103	41.3677	-41.3677	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
43.4858	1.5e+06	2.81155e+06	196.376	7371.43	0	12.5275	-307.072	294.545	27852.7	117472	-130457	43.4858	-43.4858	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
45.6038	1.5e+06	2.8082e+06	206.389	7723.1	0	12.9656	-334.511	321.545	29712	124954	-136812	45.6038	-45.6038	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
47.3594	1.5e+06	2.80517e+06	215.016	8024.36	0	13.3183	-357.936	344.618	31323.3	131329	-142078	47.3594	-47.3594	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
49.1149	1.5e+06	2.80191e+06	223.909	8333.23	0	13.6616	-381.962	368.301	33004.5	137862	-147345	49.1149	-49.1149	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
50.3757	1.5e+06	2.79942e+06	230.443	8559.08	0	13.9027	-399.581	385.678	34258.6	142651	-151127	50.3757	-50.3757	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
51.6365	1.5e+06	2.7968e+06	237.088	8787.81	0	14.1392	-417.496	403.357	35554.4	147520	-154910	51.6365	-51.6365	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
52.8974	1.5e+06	2.79405e+06	243.832	9019.01	0	14.3712	-435.702	421.33	36894.2	152468	-158692	52.8974	-52.8974	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
54.1582	1.5e+06	2.79118e+06	250.664	9252.27	0	14.5988	-454.193	439.594	38280.5	157496	-162475	54.1582	-54.1582	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
54.4016	1.5e+06	2.79061e+06	251.993	9297.5	0	14.6422	-457.794	443.152	38553.7	158476	-163205	54.4016	-54.4016	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
54.4458	1.5e+06	2.79051e+06	252.235	9305.73	0	14.6501	-458.451	443.801	38603.5	158654	-163338	54.4458	-54.4458	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
54.4901	1.5e+06	2.7904e+06	252.477	9313.97	0	14.658	-459.107	444.449	38653.5	158833	-163470	54.4901	-54.4901	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
54.5344	1.5e+06	2.7903e+06	252.719	9322.21	0	14.6658	-459.764	445.099	38703.5	159011	-163603	54.5344	-54.5344	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
54.6229	1.5e+06	2.79009e+06	253.203	9338.69	0	14.6816	-461.079	446.398	38803.7	159369	-163869	54.6229	-54.6229	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
54.7115	1.5e+06	2.78988e+06	253.688	9355.18	0	14.6973	-462.396	447.698	38904.1	159727	-164134	54.7115	-54.7115	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
54.8	1.5e+06	2.78967e+06	254.173	9371.68	0	14.713	-463.713	449	39004.8	160085	-164400	54.8	-54.8	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
55.2524	1.5e+06	2.78859e+06	256.659	9456.1	0	14.7928	-470.468	455.675	39523.1	161923	-165757	55.2524	-55.2524	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
55.7049	1.5e+06	2.78748e+06	259.153	9540.7	0	14.8721	-477.258	462.386	40047.9	163770	-167115	55.7049	-55.7049	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
56.1573	1.5e+06	2.78637e+06	261.656	9625.47	0	14.9509	-484.083	469.132	40579.4	165627	-168472	56.1573	-56.1573	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
56.6097	1.5e+06	2.78523e+06	264.168	9710.4	0	15.0291	-490.943	475.914	41117.6	167494	-169829	56.6097	-56.6097	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
57.5398	1.5e+06	2.78284e+06	269.357	9885.44	0	15.1882	-505.155	489.967	42245.7	171363	-172620	57.5398	-57.5398	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
58.47	1.5e+06	2.78039e+06	274.577	10061	0	15.3451	-519.512	504.167	43403.5	175273	-175410	58.47	-58.47	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
59.4001	1.5e+06	2.77786e+06	279.827	10237	0	15.4998	-534.012	518.512	44591.8	179223	-178200	59.4001	-59.4001	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
60.3302	1.5e+06	2.77525e+06	285.104	10413.3	0	15.6523	-548.652	533	45811.4	183213	-180991	60.3302	-60.3302	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
61.7082	1.5e+06	2.77127e+06	292.97	10675	0	15.8744	-570.597	554.723	47677	189197	-185125	61.7082	-61.7082	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
63.0862	1.5e+06	2.76713e+06	300.889	10937.3	0	16.0919	-592.84	576.748	49614.7	195265	-189259	63.0862	-63.0862	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
64.4642	1.5e+06	2.76283e+06	308.86	11200	0	16.3049	-615.374	599.07	51626.2	201417	-193393	64.4642	-64.4642	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
65.8422	1.5e+06	2.75837e+06	316.882	11463.2	0	16.5135	-638.195	621.682	53712.9	207651	-197527	65.8422	-65.8422	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
67.2202	1.5e+06	2.75376e+06	324.958	11726.8	0	16.7177	-661.296	644.579	55876.1	213965	-201661	67.2202	-67.2202	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
68.9076	1.5e+06	2.74789e+06	334.922	12050.3	0	16.9622	-689.958	672.996	58630.2	221803	-206723	68.9076	-68.9076	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
70.5951	1.5e+06	2.74179e+06	344.977	12374.8	0	17.2004	-719.02	701.82	61501.2	229757	-211785	70.5951	-70.5951	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
72.2825	1.5e+06	2.73547e+06	355.131	12700.5	0	17.4326	-748.473	731.041	64489.3	237824	-216847	72.2825	-72.2825	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
73.9699	1.5e+06	2.72891e+06	365.395	13027.7	0	17.659	-778.308	760.649	67594.4	246002	-221910	73.9699	-73.9699	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
75.3418	1.5e+06	2.72341e+06	373.829	13295.2	0	17.8388	-802.837	784.998	70204.4	252731	-226025	75.3418	-75.3418	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
76.435	1.5e+06	2.71892e+06	380.613	13509.3	0	17.9794	-822.556	804.577	72338.8	258144	-229305	76.435	-76.435	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
77.5282	1.5e+06	2.71434e+06	387.455	13724.4	0	18.1178	-842.425	824.308	74521	263602	-232585	77.5282	-77.5282	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
77.7294	1.5e+06	2.71348e+06	388.721	13764.1	0	18.143	-846.098	827.955	74927.8	264611	-233188	77.7294	-77.7294	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
77.9306	1.5e+06	2.71263e+06	389.989	13803.8	0	18.1681	-849.776	831.608	75336.1	265622	-233792	77.9306	-77.9306	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
78.1317	1.5e+06	2.71177e+06	391.26	13843.6	0	18.1932	-853.459	835.266	75746.1	266634	-234395	78.1317	-78.1317	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
78.3329	1.5e+06	2.71091e+06	392.532	13883.4	0	18.2181	-857.147	838.929	76157.7	267647	-234999	78.3329	-78.3329	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
78.7353	1.5e+06	2.70917e+06	395.084	13963.2	0	18.2679	-864.537	846.269	76985.6	269679	-236206	78.7353	-78.7353	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
79.1377	1.5e+06	2.70742e+06	397.645	14043.1	0	18.3173	-871.947	853.63	77819.8	271717	-237413	79.1377	-79.1377	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
79.5401	1.5e+06	2.70566e+06	400.215	14123.2	0	18.3664	-879.377	861.011	78660.3	273760	-238620	79.5401	-79.5401	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
79.9425	1.5e+06	2.70389e+06	402.795	14203.4	0	18.4153	-886.826	868.411	79507.1	275810	-239827	79.9425	-79.9425	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
81.3116	1.5e+06	2.69777e+06	411.646	14477.9	0	18.5792	-912.315	893.736	82434.5	282826	-243935	81.3116	-81.3116	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
82.6807	1.5e+06	2.69151e+06	420.617	14754.6	0	18.7397	-938.023	919.283	85432.3	289910	-248042	82.6807	-82.6807	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
84.0498	1.5e+06	2.68511e+06	429.715	15033.8	0	18.897	-963.945	945.048	88499	297059	-252149	84.0498	-84.0498	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
85.4189	1.5e+06	2.67858e+06	438.947	15315.6	0	19.0511	-990.076	971.025	91632.6	304274	-256257	85.4189	-85.4189	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
86.788	1.5e+06	2.67192e+06	448.321	15600.2	0	19.2019	-1016.41	997.212	94831.3	311554	-260364	86.788	-86.788	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
88.8789	1.5e+06	2.66149e+06	462.925	16040.4	0	19.4264	-1057.02	1037.6	99837.4	322797	-266637	88.8789	-88.8789	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
90.9698	1.5e+06	2.65076e+06	477.898	16488	0	19.6439	-1098.09	1078.45	104983	334187	-272910	90.9698	-90.9698	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
93.0608	1.5e+06	2.63975e+06	493.259	16943.1	0	19.8545	-1139.6	1119.74	110260	345723	-279182	93.0608	-93.0608	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
95.1517	1.5e+06	2.62846e+06	509.025	17406.1	0	20.0587	-1181.53	1161.47	115662	357403	-285455	95.1517	-95.1517	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
97.2426	1.5e+06	2.61691e+06	525.208	17877.1	0	20.2564	-1223.88	1203.62	121178	369227	-291728	97.2426	-97.2426	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
99.9255	1.5e+06	2.60171e+06	546.6	18493	0	20.5011	-1278.8	1258.29	128412	384603	-299777	99.9255	-99.9255	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
102.608	1.5e+06	2.58611e+06	568.701	19121.6	0	20.7361	-1334.35	1313.61	135806	400208	-307825	102.608	-102.608	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
105.291	1.5e+06	2.57013e+06	591.504	19762.1	0	20.9617	-1390.51	1369.55	143343	416036	-315874	105.291	-105.291	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
107.974	1.5e+06	2.55379e+06	614.985	20413.2	0	21.1784	-1447.26	1426.08	151007	432084	-323922	107.974	-107.974	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
110.657	1.5e+06	2.53712e+06	639.105	21073.2	0	21.3864	-1504.57	1483.18	158784	448346	-331971	110.657	-110.657	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
113.34	1.5e+06	2.52013e+06	663.808	21740.2	0	21.5861	-1562.41	1540.83	166660	464817	-340020	113.34	-113.34	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
116.023	1.5e+06	2.50284e+06	689.02	22411.7	0	21.7778	-1620.78	1599	174623	481491	-348068	116.023	-116.023	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
118.706	1.5e+06	2.48528e+06	714.652	23085.1	0	21.962	-1679.64	1657.68	182661	498363	-356117	118.706	-118.706	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
121.388	1.5e+06	2.46747e+06	740.6	23757.4	0	22.1387	-1738.97	1716.84	190764	515424	-364165	121.388	-121.388	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
123.747	1.5e+06	2.45161e+06	763.574	24344.9	0	22.2883	-1791.51	1769.22	197933	530571	-371240	123.747	-123.747	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
124.14	1.5e+06	2.44895e+06	767.418	24442.5	0	22.3128	-1800.31	1778	199134	533113	-372421	124.14	-124.14	0	1	1	1	44000	0.0006	1	3.32	2500	5e-11	0.05	150	0	200	150	80	321	380	1	0	0	120000	815	9165	2380	3000	100	66	0.01	0.5	7.07107e+06
